Modelo,Valor,Local
IPHONE 8 64gb ,1100,Maranguape Novo Maranguape II
iPhone 12pro Max,5100,Fortaleza Conjunto Ceará II
iPhone 11 PARA TIRAR PEÇAS ,1100,Fortaleza Messejana
iPhone 8plus zero bateria 100%,1000,Fortaleza Genibaú
iPhone 12 Pro Max ,4300,Fortaleza Mondubim
Iphone 12 128 Gb Seminovo - Única dona com cabo carregador NOVO!,3300,Fortaleza Edson Queiroz
Iphone 6s+,565,Fortaleza José de Alencar
Iphone 6 com 64GB de memória e bateria com 95% saúde,999,Fortaleza Curió
iPhone SE,1200,Fortaleza Prefeito José Walter
Iphone 12 normal,2700,Fortaleza Cais do Porto
Vendo iPhone XR 64gb,1500,Fortaleza Novo Mondubim
iPhone 8 Plus 256 gb / 64gb,2200,Caucaia Parque Potira (Jurema)
IPHONE 11 - 128gb,2000,Fortaleza Meireles
iPhone 11 64gb preto ,2250,Fortaleza Engenheiro Luciano Cavalcante
iPhone XR ,1700,Fortaleza Coaçu
iPhone 12,2799,Pacatuba Senador Carlos Jereissati
iPhone XR,1500,Eusébio Precabura
iPhone 11 64 Gg ,2250,Maranguape Novo Maranguape I
Iphone 8,1170,Fortaleza Henrique Jorge
iPhone XR ,1800,Fortaleza Messejana
iPhone 7 Plus 128 gb,1300,Fortaleza Guajeru
iPhone XR ,1700,Fortaleza Bom Jardim
iPhone 11 Pro Max 256gb,3000,Caucaia São Miguel (Jurema)
iPhone 11 Branco novíssimo 128gb com garantia e acessórios ,2500,Fortaleza Siqueira
IPHONE 11 PRO MAX 64 GB SPACE GRAY,2700,Fortaleza Passaré
iPhone 12 128GB azul,3200,Fortaleza Meireles
Iphone 11,2400,Fortaleza Fátima
IPHONE 11 ,2700,Fortaleza Bonsucesso
iPhone 11 ,1900,Fortaleza Vila Velha
Vendo IPhone ,650,Fortaleza Engenheiro Luciano Cavalcante
VENDO IPHONE XR 64 GIGAS ,2000,Fortaleza Meireles
iPhone XR 64Gb,1950,Fortaleza Planalto Ayrton Senna
iPhone 8plus ,1450,Fortaleza Quintino Cunha
IPhone 7 Rose 32Gb - Completo ,600,Fortaleza Planalto Ayrton Senna
iphone 7 plus top ,750,Fortaleza Novo Mondubim
iPhone 13 Pro Max - 256GB,5850,Fortaleza Messejana
iPhone 7 ,700,Fortaleza Moura Brasil
iPhone 7 ,750,Fortaleza Parreão
IPhone X 64 GB Branco Novo ,2000,Fortaleza De Lourdes
iPhone 8 64Gb,750,Fortaleza Granja Portugal
iPhone 13 Pro Max 512G,6000,Fortaleza Jóquei Clube
Iphone 8,840,Fortaleza Carlito Pamplona
iPhone 11 128gb,2300,Fortaleza Centro
iPhone 7,500,Pacatuba Pavuna
iPhone 13 ,4000,Fortaleza Panamericano
iPhone 13 128gb *sem marcas de uso*,4600,Fortaleza Cidade 2000
iPhone 7 ,550,Fortaleza Jangurussu
iPhone ,850,Redenção
iphone 8 ,800,Fortaleza Barra do Ceará
iPhone 8 Plus Rose valor negociável !!,1400,Fortaleza Joaquim Távora
iPhone 11 Pro Max ,3000,Fortaleza João XXIII
Iphone 7plus 128gb,1400,Fortaleza Barra do Ceará
iPhone 12 pro Max 128g bateria 87% estado de zero,4200,Fortaleza Floresta
iPhone 7plus - Gold,850,Fortaleza Bonsucesso
Vendo iPhone 11,2000,Maranguape Sapupara
iPhone 11,2350,Fortaleza Novo Mondubim
Vendo iPhone 6,400,Fortaleza Sapiranga-Coité
iPhone 7 32g ,600,Fortaleza Jardim Guanabara
iPhone 8 Plus 128gb com Nota completo,1600,Maracanaú Timbó
iPhone 12 Pro Max ,6000,Fortaleza Edson Queiroz
iPhone 11 128 GB,2100,Fortaleza Cidade 2000
iPhone XR,1600,Fortaleza Paupina
iPhone 13 - 128g top,3999,Fortaleza Joaquim Távora
iPhone 12  64 sem marcas de uso ,3200,Fortaleza Aldeota
iPhone 8,850,Fortaleza Aldeota
IPhone X 256gb,1300,Fortaleza Bom Futuro
IPHONE 13 PRO MAX,5100,Fortaleza Messejana
iPhone 11 128gb na caixa ,2200,Fortaleza Rodolfo Teófilo
iPhone X,2000,Maracanaú Centro
Iphone xs max 256GB,2200,Fortaleza Jardim das Oliveiras
iPhone 8 Plus ,2000,Fortaleza Parque Dois Irmãos
iPhone 8 funcionando tudo ,1050,Fortaleza Granja Lisboa
IPHONE 7 PLUS ,1100,Fortaleza Siqueira
iPhone XR 64gb,1800,Fortaleza Quintino Cunha
iPhone 13 128gb completo ? ,3990,Fortaleza Dom Lustosa
IPHONE 11 128GB MUITO TOP,2600,Maracanaú Piratininga
iPhone 12 64 a Garantia 01/24,3400,Fortaleza Dendê
iPhone 12 pro Max Gold 128GB,3800,Fortaleza Carlito Pamplona
iPhone 8,1200,Fortaleza Jardim das Oliveiras
iPhone 11 Pro ,3000,Fortaleza Parque São José
iPhone 11 Pro Max 64GB vendo ou troco,3400,Fortaleza Pedras
iPhone 12 bem conservado! ,2850,Fortaleza Bonsucesso
iPhone XR TRANSFORMADO 14 pro Roxo,1900,Fortaleza Cidade dos Funcionários
iPhone 11,2700,Fortaleza Manoel Sátiro
iPhone 7plus,1000,Pentecoste
iphone 11 64,2750,Fortaleza Paupina
Iphone 11 seminovo,2250,Fortaleza Ellery
iPhone 11,1850,Fortaleza Granja Lisboa
iPhone XR 64g (LEIA A DESCRIÇÃO),1300,Caucaia Centro
iPhone 13 ,4200,Canindé
IPhone 7 Plus ,1200,Fortaleza Meireles
iPhone 7 128GB,700,Fortaleza Parque Dois Irmãos
iPhone 8plus ,1250,Fortaleza Lagoa Redonda
